genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""RIT2""
",4130047,snv,intron_variant,18,18:43098270," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",H,,NC_000018.10
"[1] ""LINC01012""    ""LOC124901291""
",4713118,snv,"non_coding_transcript_variant,intron_variant",6,6:27709015," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",D,,NC_000006.12
"[1] ""CCDC62""
",11060180,snv,intron_variant,12,12:122819039," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000012.12
,687432,snv,,11,11:57926788," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000011.10
"[1] ""LINC02451""
",148294058,snv,intron_variant,12,12:42655580,"[1] ""1000Genomes""    ""Estonian""       ""GoNL""           ""NorthernSweden""
[5] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[9] ""ALFA""          
",N,,NC_000012.12
"[1] ""SH3GL2""
",2209440,snv,intron_variant,9,9:17736344," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOME_DK""      ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",D,,NC_000009.12
"[1] ""SYT17""        ""LOC105371114""
",11343,snv,"intron_variant,genic_downstream_transcript_variant,3_prime_UTR_variant",16,16:19268142," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000016.10
"[1] ""NDUFAF2""
",162227,snv,intron_variant,5,5:60964716," [1] ""1000Genomes""    ""Estonian""       ""GENOME_DK""      ""GoNL""          
 [5] ""KOREAN""         ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOMMO""          ""TOPMED""         ""Vietnamese""    
[13] ""ALFA""          
",B,,NC_000005.10
"[1] ""CA8""
",144074972,snv,"intron_variant,genic_downstream_transcript_variant",8,8:60251336,"[1] ""1000Genomes"" ""GnomAD""      ""TOPMED""      ""ALFA""       
",Y,,NC_000008.11
,601999,snv,,17,17:42546140," [1] ""1000Genomes""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [5] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOMMO""          ""TOPMED""         ""ALFA""          
",N,,NC_000017.11
"[1] ""LINC02210""       ""LINC02210-CRHR1""
",365825,snv,intron_variant,17,17:45628235," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000017.11
,13016703,snv,,2,2:168299085," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",K,,NC_000002.12
,9858038,snv,,3,3:183012503," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000003.12
,188789342,snv,,10,10:119612816," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000010.11
"[1] ""ASH1L""
",145330152,snv,"intron_variant,genic_downstream_transcript_variant",1,1:155401328,"[1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
[5] ""GoNL""           ""NorthernSweden"" ""TOPMED""         ""TWINSUK""       
[9] ""ALFA""          
",M,,NC_000001.11
"[1] ""LOC442028""
",187989831,snv,intron_variant,2,2:94894760,"[1] ""1000Genomes"" ""GnomAD""      ""KOREAN""      ""Korea1K""     ""SGDP_PRJ""   
[6] ""TOMMO""       ""ALFA""       
",S,,NC_000002.12
"[1] ""TMEM175""
",34311866,snv,"missense_variant,genic_downstream_transcript_variant,coding_sequence_variant",4,4:958159," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GnomAD""         ""GnomAD_exomes""  ""GoESP""         
 [9] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,benign,NC_000004.12
"[1] ""SNCA-AS1""
",983361,snv,intron_variant,4,4:89840793," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",N,,NC_000004.12
"[1] ""WDR41""
",137887044,snv,"intron_variant,genic_upstream_transcript_variant",5,5:77616673," [1] ""1000Genomes"" ""ALSPAC""      ""Estonian""    ""GnomAD""      ""GoNL""       
 [6] ""Qatari""      ""SGDP_PRJ""    ""TOPMED""      ""TWINSUK""     ""ALFA""       
",Y,,NC_000005.10
"[1] ""MUC12""
",78837976,snv,"coding_sequence_variant,missense_variant",7,7:101004230,"[1] ""ExAC""          ""GnomAD_exomes"" ""KOREAN""        ""Korea1K""      
[5] ""Qatari""        ""SGDP_PRJ""      ""TOMMO""         ""ALFA""         
",Y,,NC_000007.14
"[1] ""CARS2""
",74125032,snv,intron_variant,13,13:110677242,"[1] ""1000Genomes"" ""GnomAD""      ""KOREAN""      ""Qatari""      ""SGDP_PRJ""   
[6] ""ALFA""       
",N,,NC_000013.11
,117672332,snv,,17,17:3702823," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000017.11
"[1] ""MAPT-AS1""
",7221167,snv,intron_variant,17,17:45855941," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000017.11
"[1] ""WNT3""     ""LRRC37A2""
",199501,snv,"intron_variant,genic_downstream_transcript_variant",17,17:46785247," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB36033""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000017.11
,35749011,snv,,1,1:155162560," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""Korea1K""        ""NorthernSweden""
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000001.11
"[1] ""SNCA""     ""SNCA-AS1""
",3806789,snv,"2KB_upstream_variant,upstream_transcript_variant,non_coding_transcript_variant",4,4:89838405," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000004.12
"[1] ""ING1""
",74125084,snv,3_prime_UTR_variant,13,13:110720333,"[1] ""1000Genomes"" ""ALSPAC""      ""GnomAD""      ""MGP""         ""Qatari""     
[6] ""SGDP_PRJ""    ""TOPMED""      ""TWINSUK""     ""ALFA""       
",W,,NC_000013.11
"[1] ""ITGAE""  ""HASPIN""
",11653889,snv,"coding_sequence_variant,genic_downstream_transcript_variant,missense_variant,intron_variant",17,17:3724162," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GnomAD""         ""GnomAD_exomes""  ""GoESP""          ""NorthernSweden""
 [9] ""PAGE_STUDY""     ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",W,,NC_000017.11
"[1] ""CACNA2D3""
",75337321,snv,intron_variant,3,3:54550560," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000003.12
,17377936,snv,,4,4:155466679," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",B,,NC_000004.12
"[1] ""NTRK1""
",58519469,snv,intron_variant,1,1:156878696," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",R,,NC_000001.11
,10908458,snv,,1,1:155154472," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000001.11
"[1] ""KCNN3""
",2798604,snv,intron_variant,1,1:154825677," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000001.11
"[1] ""SSBP4""
",111408331,snv,"intron_variant,genic_upstream_transcript_variant",19,19:18403904," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",R,,NC_000019.10
,79372348,snv,,18,18:7234107," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""Siberian""       ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[13] ""ALFA""          
",R,,NC_000018.10
"[1] ""GBA2""
",186852039,snv,intron_variant,9,9:35742005," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,likely-benign,NC_000009.12
"[1] ""GNA12"" ""AMZ1"" 
",11772125,snv,"intron_variant,genic_downstream_transcript_variant",7,7:2757620," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",K,,NC_000007.14
"[1] ""KCNN3""
",11584630,snv,intron_variant,1,1:154835459," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PAGE_STUDY""     ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",R,,NC_000001.11
,12028043,snv,,1,1:155160360," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",D,,NC_000001.11
"[1] ""ALK""
",72792300,snv,"intron_variant,genic_upstream_transcript_variant",2,2:29865460," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOPMED""         ""TWINSUK""       
[13] ""ALFA""          
",R,,NC_000002.12
"[1] ""GBA""
",76763715,snv,"coding_sequence_variant,missense_variant",1,1:155235843," [1] ""1000Genomes""    ""ALSPAC""         ""ExAC""           ""GnomAD""        
 [5] ""GnomAD_exomes""  ""NorthernSweden"" ""PAGE_STUDY""     ""TOPMED""        
 [9] ""TWINSUK""        ""ALFA""          
",B,"uncertain-significance,pathogenic,likely-pathogenic,pathogenic-likely-pathogenic,risk-factor",NC_000001.11
"[1] ""TRIM46""
",114525519,snv,intron_variant,1,1:155179361," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",K,,NC_000001.11
"[1] ""ASH1L""    ""POU5F1P4""
",116540837,snv,"genic_downstream_transcript_variant,2KB_upstream_variant,intron_variant,upstream_transcript_variant",1,1:155432750," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,,NC_000001.11
"[1] ""PBXIP1""
",116114495,snv,intron_variant,1,1:154951539," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""FINRISK""       
 [5] ""GENOME_DK""      ""GnomAD""         ""GoESP""          ""GoNL""          
 [9] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",H,,NC_000001.11
,1630500,snv,,1,1:154882579," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",R,,NC_000001.11
"[1] ""ARHGEF2""
",71628699,snv,intron_variant,1,1:155974835," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",V,,NC_000001.11
"[1] ""RIT1""
",1749409,snv,intron_variant,1,1:155900625," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",D,benign,NC_000001.11
"[1] ""SEMA4A""
",41265017,snv,"genic_downstream_transcript_variant,missense_variant,coding_sequence_variant",1,1:156176849," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""ExAC""           ""FINRISK""        ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""MGP""            ""NorthernSweden""
[13] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,"benign,pathogenic,likely-benign",NC_000001.11
"[1] ""LMNA""
",513043,snv,intron_variant,1,1:156129878," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GnomAD""         ""GnomAD_exomes""  ""GoESP""          ""GoNL""          
 [9] ""KOREAN""         ""Korea1K""        ""MGP""            ""NorthernSweden""
[13] ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",K,benign,NC_000001.11
"[1] ""LMNA""
",577492,snv,intron_variant,1,1:156130948," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""    
[13] ""PRJEB36033""     ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",Y,benign,NC_000001.11
"[1] ""LMNA""
",553016,snv,"genic_downstream_transcript_variant,intron_variant",1,1:156137072," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GnomAD""         ""GnomAD_exomes""  ""GoESP""         
 [9] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[17] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[21] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",B,benign,NC_000001.11
"[1] ""BGLAP""      ""PMF1-BGLAP""
",1800247,snv,"2KB_upstream_variant,intron_variant,upstream_transcript_variant",1,1:156242034," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000001.11
,2764407,snv,,1,1:156364040," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PAGE_STUDY""     ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000001.11
