MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
CCNT2-AS1,rs6430538,Parkinson's disease,2,9e-20,"13,708 European ancestry cases, 95,282 European ancestry controls"
CCSER1,rs75541595,Parkinson's disease,4,3e-24,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CCSER1,rs145138919,Parkinson's disease,4,5e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CCT3,rs2764407,Parkinson disease,1,4e-09,"6,868 cases, 204 controls"
CCT3,rs35161831,Parkinson's disease,1,1e-15,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CD69 - GCNAP1,rs4418897,Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide),12,5e-06,"67 Japanese ancestry responders, 133 Japanese ancestry poor responders"
CD83P1 - RNU6-471P,rs9393826,Parkinson's disease,6,1e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CFAP20DC-DT,rs6783485,Parkinson's disease,3,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
"CHL1, CHL1-AS1",rs3773384,Parkinsonism in frontotemporal lobe dementia,3,4e-06,"184 European ancestry cases, 198 European ancestry controls"
CHRNB1,rs12600861,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,1e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CLCN3,rs62333164,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,2e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CLCN3,rs7434295,Parkinson's disease,4,2e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CLRN3,rs6482992,Parkinson's disease (motor and cognition),10,4e-06,443 European ancestry cases
CNKSR3,rs2275336,Parkinson's disease,6,9e-07,"4,238 European ancestry cases, 4,239 European ancestry controls"
CNTN1,rs1442190,Parkinson's disease,12,2e-27,"1,130 Ashkenazi Jewish cases, 2,611 Ashkenazi Jewish controls"
CNTN1,rs73273590,Parkinson's disease,12,9e-17,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CNTN1,rs1442190,Parkinson's disease,12,2e-15,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
COL13A1,rs17497526,Parkinson's disease,10,6e-07,"31 Amish cases, 767 Amish controls"
COL5A2,rs11186,Parkinson's disease,2,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
CRLS1,rs77351827,Parkinson's disease or first degree relation to individual with Parkinson's disease,20,9e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CTC1,rs3027247,Parkinson's disease (motor and cognition),17,9e-06,443 European ancestry cases
CTSB,rs1293298,Parkinson's disease,8,2e-14,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
CTSB,rs1293298,Parkinson's disease or first degree relation to individual with Parkinson's disease,8,4e-16,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
CTSB,rs2740594,Parkinson's disease,8,6e-12,"20,184 European ancestry cases, 397,324 European ancestry controls"
CTSB,rs1293298,Parkinson's disease,8,6e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
CTSB,rs1293298,Parkinson's disease in GBA mutation carriers,8,6e-06,"1,588 European ancestry cases, 7,584 European ancestry controls"
CYCSP42 - RNU6-1326P,rs2823357,Parkinson's disease,21,6e-07,"3,426 European ancestry cases, 29,624 European ancestry controls"
CYP4Z1,rs116504637,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),1,1e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
CYRIB,rs2086641,Parkinson's disease or first degree relation to individual with Parkinson's disease,8,2e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
DAB1,rs148267997,Impulse control disorders in Parkinson’s disease,1,5e-07,"1,976 European ancestry cases, 3,286 European ancestry controls"
DCST1,rs11264300,Parkinson disease,1,8e-07,"6,868 cases, 204 controls"
DCST1,rs4845404,Parkinson disease,1,2e-06,"6,868 cases, 204 controls"
DCST1,rs146143531,Parkinson's disease,1,2e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
DCUN1D1 - MCCC1,rs9858038,Parkinson's disease,3,3e-14,"9,619 European ancestry cases, 324,522 European ancestry controls"
DDX46,rs11956597,Parkinson's disease,5,8e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
DENND2B,rs34105455,Parkinson's disease progression (cognitive),11,4e-06,"2,788 individuals"
DGKQ,rs11248060,Parkinson's disease,4,2e-06,"1,752 European ancestry cases, 1,745 European ancestry controls"
DGKQ,rs11248060,Parkinson's disease,4,3e-09,"4,238 European ancestry cases, 4,239 European ancestry controls"
DGKQ,rs11248060,Parkinson's disease,4,3e-12,"2,197 cases, 2,061 controls"
DIRC1 - COL3A1,rs997277,Parkinson disease and lewy body pathology,2,5e-08,"484 European ancestry cases, 1,145 European ancestry controls"
DLG2,rs7479949,Parkinson's disease,11,6e-08,"779 Han Chinese ancestry cases, 13,227 Han Chinese ancestry controls"
DLG2,rs3793947,Parkinson's disease,11,4e-07,"13,708 European ancestry cases, 95,282 European ancestry controls"
DLG2,rs6592142,Parkinson's disease,11,5e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
DLG2,rs12278023,Parkinson's disease,11,2e-08,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
DLG2,rs12283611,Parkinson's disease or first degree relation to individual with Parkinson's disease,11,3e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
DLG2,rs3793947,Parkinson's disease,11,4e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
DLG2,rs3793947,Parkinson's disease,11,5e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
DLG2,rs10501570,Parkinson's disease,11,7e-06,"267 European ancestry cases, 270 European ancestry controls"
DNAH17,rs666463,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,3e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"DNASE1L1, RPL10",rs28602900,Parkinson's disease,X,1e-09,"11,142 European ancestry cases, 5,379 European ancestry proxy cases, 547,618 European ancestry controls"
"DNASE1L1, RPL10",rs28602900,Parkinson's disease,X,4e-07,"6,451 European ancestry male cases, 3,551 European ancestry male proxy cases, 251,229 European ancestry controls"
DSG3,rs1941184,Parkinson's disease (age of onset),18,4e-06,"857 European ancestry familial cases, 440 idiopathic cases"
DYRK1A,rs2248244,Parkinson's disease,21,6e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
DYRK1A,rs11701722,Parkinson's disease,21,5e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
DYRK1A,rs2248244,Parkinson's disease or first degree relation to individual with Parkinson's disease,21,3e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
DYRK1A,rs2248244,Parkinson's disease,21,4e-07,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
EFNA3 - Y_RNA,rs7367207,Parkinson disease,1,1e-06,"6,868 cases, 204 controls"
EFNA3 - Y_RNA,rs7365544,Parkinson disease,1,9e-07,"6,868 cases, 204 controls"
EFNA4-EFNA3,rs35902694,Parkinson disease,1,5e-08,"6,868 cases, 204 controls"
EFNB1 - PJA1,rs11796528,Parkinson's disease,X,1e-06,"11,142 European ancestry cases, 5,379 European ancestry proxy cases, 547,618 European ancestry controls"
"EHMT2-AS1, SLC44A4",rs9267659,Parkinson's disease or first degree relation to individual with Parkinson's disease,6,4e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ELOVL7,rs1867598,Parkinson's disease,5,7e-22,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
ELOVL7,rs1867598,Parkinson's disease or first degree relation to individual with Parkinson's disease,5,3e-23,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
ELOVL7,rs1867598,Parkinson's disease,5,7e-10,"20,184 European ancestry cases, 397,324 European ancestry controls"
ERCC6L2-AS1,rs67383717,Parkinson's disease (pesticide exposure interaction),9,2e-06,"364 cases, 364 sibling controls"
EXTL3,rs73564758,Levodopa-induced dyskinesia in levodopa treated Parkinson's disease,8,9e-06,"172 Korean ancestry cases, 569 Korean ancestry controls"
FAM136FP - NUP50P4,rs7752646,Parkinson's disease,6,4e-07,"929 Swedish ancestry cases, 935 Swedish ancestry controls"
FAM171A2,rs850738,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,1e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
FAM184A,rs79987229,Parkinson's disease progression (composite),6,3e-06,"2,755 individuals"
"FAM47E, FAM47E-STBD1",rs6812193,Parkinson's disease,4,8e-10,"3,426 European ancestry cases, 29,624 European ancestry controls"
"FAM47E, FAM47E-STBD1",rs12643261,Parkinson's disease,4,4e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
"FAM47E, FAM47E-STBD1",rs6812193,Parkinson's disease,4,1e-14,"20,184 European ancestry cases, 397,324 European ancestry controls"
"FAM47E, FAM47E-STBD1",rs6812193,Parkinson's disease,4,7e-11,"9,619 European ancestry cases, 324,522 European ancestry controls"
"FAM47E, FAM47E-STBD1",rs6812193,Parkinson's disease,4,4e-07,"1,713 European ancestry cases, 3,978 European ancestry controls"
"FAM47E, FAM47E-STBD1",rs6812193,Parkinson's disease,4,3e-11,"13,708 European ancestry cases, 95,282 European ancestry controls"
"FAM47E-STBD1, FAM47E",rs6854006,Parkinson's disease,4,2e-19,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
"FAM47E-STBD1, FAM47E",rs6854006,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,6e-21,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
FASN,rs4485435,Parkinson's disease,17,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
FCGR3B - FCGR2B,rs17411858,Parkinson's disease,1,5e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
FDFT1 - CTSB,rs1296028,Parkinson's disease,8,1e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
FGD4 - DNM1L,rs181609621,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,8e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
FMNL1-DT,rs62066707,Parkinson's disease,17,9e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
FYN,rs9487736,Parkinson's disease,6,4e-15,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
FYN,rs1887316,Parkinson's disease,6,3e-08,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
GABRG2 - RNU6-164P,rs11949046,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),5,2e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
GABRG3 - OCA2,rs17565841,Parkinson's disease (age of onset),15,3e-06,"857 European ancestry familial cases, 440 idiopathic cases"
GAK,rs11248051,Parkinson's disease,4,3e-09,"2,000 European ancestry cases, 1,986 European ancestry controls"
GAK,rs873786,Parkinson's disease or first degree relation to individual with Parkinson's disease,4,2e-21,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GAK,rs1564282,Parkinson's disease (familial),4,7e-07,"1,119 European ancestry cases, 1,127 European ancestry controls"
GAK,rs35541465,Parkinson's disease,4,3e-15,"9,619 European ancestry cases, 324,522 European ancestry controls"
GAK,rs75072999,Parkinson's disease,4,4e-19,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GALNT9 - FBRSL1,rs11610045,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,2e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GALNT9 - FBRSL1,rs11610045,Parkinson's disease,12,5e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
GBA1,rs421016,Parkinson's disease,1,1e-14,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
GBA1,rs76763715,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,2e-22,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
GBA1,rs76763715,Parkinson disease,1,3e-90,"6,868 cases, 204 controls"
GBA1,rs2230288,Parkinson's disease,1,5e-17,"9,619 European ancestry cases, 324,522 European ancestry controls"
